timestamp,symbol,best_level_ofi,sequence,multi_level_ofi,integrated_ofi
2024-10-21 12:58:10.666096256+00:00,AAPL,0,15111549,-305.44841269841265,-177.29332753828518
2024-10-21 12:58:10.666096256+00:00,AAPL,-6,15111549,0.0,0.0
2024-10-21 12:58:10.666096256+00:00,AAPL,-6,15111549,0.0,-177.29332753828518
2024-10-21 12:58:10.666096256+00:00,AAPL,-6,15111549,-305.44841269841265,0.0
2024-10-21 12:58:10.666096256+00:00,AAPL,-6,15111549,-305.44841269841265,-177.29332753828518
2024-10-21 12:58:10.666117777+00:00,AAPL,100,15111550,544.6357142857141,358.31946124732696
2024-10-21 12:58:10.666119828+00:00,AAPL,22,15111551,22.0,0.4402155700529152
2024-10-21 12:58:10.666134191+00:00,AAPL,0,15111552,358.0150793650794,223.75357197175575
2024-10-21 12:58:10.666182330+00:00,AAPL,-100,15111553,-100.0,-2.0009798638768874
2024-10-21 12:58:10.668387164+00:00,AAPL,0,15111557,0.0,0.0
2024-10-21 12:58:10.668387164+00:00,AAPL,-8,15111558,-397.752380952381,-170.32847305159822
2024-10-21 12:58:10.668387164+00:00,AAPL,-295,15111559,-606.2535714285714,-196.80511811678576
2024-10-21 12:58:10.668387164+00:00,AAPL,93,15111560,93.0,1.8609112734055049
2024-10-21 12:58:10.668387164+00:00,AAPL,-127,15111561,-443.55833333333334,-153.6110979717108
2024-10-21 12:58:10.668412244+00:00,AAPL,100,15111562,411.6678571428571,245.19712506086367
2024-10-21 12:58:10.668421624+00:00,AAPL,0,15111563,251.8813492063492,185.75658938217413
2024-10-21 12:58:10.668424903+00:00,AAPL,100,15111564,366.9765873015873,172.9534638949605
2024-10-21 12:58:10.668436484+00:00,AAPL,100,15111565,100.0,2.0009798638768874
2024-10-21 12:58:10.668486990+00:00,AAPL,0,15111567,-266.9765873015873,-170.9524840310836
2024-10-21 12:58:10.668495920+00:00,AAPL,-100,15111568,-100.0,-2.0009798638768874
2024-10-21 12:58:10.668504902+00:00,AAPL,-100,15111569,-351.88134920634917,-187.75756924605102
2024-10-21 12:58:10.668524657+00:00,AAPL,0,15111570,-311.6678571428571,-243.1961451969868
2024-10-21 12:58:10.668685103+00:00,AAPL,100,15111571,405.1678571428571,244.40688567883595
2024-10-21 12:58:10.668708138+00:00,AAPL,100,15111575,393.04801587301586,191.95499896461914
2024-10-21 12:58:10.668768437+00:00,AAPL,15,15111585,309.0599206349206,177.91312389478654
2024-10-21 12:58:10.668997172+00:00,AAPL,0,15111586,-244.05992063492064,-171.53421243806844
2024-10-21 12:58:10.669075250+00:00,AAPL,0,15111588,-293.04801587301586,-189.95401910074227
2024-10-21 12:58:10.672875445+00:00,AAPL,-15,15111601,-320.1678571428571,-242.70605279454057
2024-10-21 12:58:10.766666052+00:00,AAPL,0,15111827,40.0,23.135301612889172
2024-10-21 12:58:10.766692893+00:00,AAPL,0,15111828,-398.0150793650795,-246.8888735846449
2024-10-21 12:58:10.769583448+00:00,AAPL,-9,15111832,-503.63571428571424,-397.71747426753535
2024-10-21 12:58:10.779690647+00:00,AAPL,127,15111846,443.55833333333334,153.6110979717108
2024-10-21 12:58:10.931928238+00:00,AAPL,200,15112013,511.25357142857143,194.90418724610274
2024-10-21 12:58:10.970212670+00:00,AAPL,0,15112060,111.1111111111111,71.01715665090894
2024-10-21 12:58:11.735054168+00:00,AAPL,0,15112665,66.66666666666666,20.526860855787415
2024-10-21 12:58:11.739498889+00:00,AAPL,0,15112668,-311.2535714285714,-190.90222751834898
2024-10-21 12:58:11.739510725+00:00,AAPL,0,15112669,247.75357142857138,183.18219663238548
2024-10-21 12:58:11.741567426+00:00,AAPL,0,15112672,-66.66666666666666,-20.526860855787415
2024-10-21 12:58:11.790575104+00:00,AAPL,0,15112726,-66.66666666666666,-20.526860855787415
2024-10-21 12:58:11.790587578+00:00,AAPL,0,15112727,664.3023809523809,466.7887147716221
2024-10-21 12:58:13.632358940+00:00,AAPL,0,15114194,206.66666666666666,26.367743994125103
2024-10-21 12:58:15.135381045+00:00,AAPL,0,15117408,66.66666666666666,20.526860855787415
2024-10-21 12:58:15.135391677+00:00,AAPL,0,15117409,-247.75357142857138,-183.18219663238548
2024-10-21 12:58:15.135402966+00:00,AAPL,0,15117410,247.75357142857138,183.18219663238548
2024-10-21 12:58:15.189814409+00:00,AAPL,0,15117635,200.0,24.31505790854636
2024-10-21 12:58:15.280737422+00:00,AAPL,0,15117891,-100.0,-12.15752895427318
2024-10-21 12:58:15.315283786+00:00,AAPL,0,15117923,196.83333333333331,48.773752597538305
2024-10-21 12:58:16.357123535+00:00,AAPL,0,15118619,100.0,12.15752895427318
2024-10-21 12:58:20.739070247+00:00,AAPL,0,15122732,100.0,12.15752895427318
2024-10-21 12:58:25.681145858+00:00,AAPL,100,15126857,589.1817460317461,265.6753315111592
2024-10-21 12:58:25.752287218+00:00,AAPL,0,15126921,-66.66666666666666,-20.526860855787415
2024-10-21 12:58:38.664122485+00:00,AAPL,100,15138662,100.0,2.0009798638768874
2024-10-21 12:58:38.865141726+00:00,AAPL,100,15138877,442.252380952381,166.39454827308518
2024-10-21 12:58:38.865153436+00:00,AAPL,0,15138878,-342.252380952381,-164.39356840920829
2024-10-21 12:58:38.884268974+00:00,AAPL,0,15138895,66.66666666666666,20.526860855787415
2024-10-21 12:58:38.934127462+00:00,AAPL,0,15138947,2.5,0.3039382238568295
2024-10-21 12:58:39.124837053+00:00,AAPL,0,15139070,342.252380952381,164.39356840920829
2024-10-21 12:58:39.665440876+00:00,AAPL,0,15139454,197.11507936507934,146.40984782599523
2024-10-21 12:58:44.315042667+00:00,AAPL,0,15142509,-66.66666666666666,-20.526860855787415
2024-10-21 12:58:44.315056213+00:00,AAPL,0,15142510,66.66666666666666,20.526860855787415
2024-10-21 12:58:53.553367785+00:00,AAPL,0,15150005,-415.5150793650794,-242.29646376469572
2024-10-21 12:58:53.553380154+00:00,AAPL,0,15150006,482.1817460317461,262.82332462048316
2024-10-21 12:58:54.392440802+00:00,AAPL,0,15150515,-2.5,-0.3039382238568295
2024-10-21 12:58:54.393294723+00:00,AAPL,0,15150517,395.8345238095238,321.00076585883016
2024-10-21 12:58:56.608715388+00:00,AAPL,0,15151908,-327.5011904761904,-299.96073348164805
2024-10-21 12:58:56.926366487+00:00,AAPL,100,15152092,377.61230158730154,146.91635435584422
2024-10-21 12:58:56.926409817+00:00,AAPL,0,15152093,229.29682539682537,133.21575970877527
2024-10-21 12:58:56.930460468+00:00,AAPL,-87,15152094,-316.29682539682534,-134.95661219034815
2024-10-21 12:58:56.936864426+00:00,AAPL,0,15152095,0.0,0.0
2024-10-21 12:58:56.936864426+00:00,AAPL,0,15152096,0.0,0.0
2024-10-21 12:58:56.985971755+00:00,AAPL,0,15152122,-277.61230158730154,-144.91537449196733
2024-10-21 12:58:56.985973938+00:00,AAPL,0,15152123,-297.781746031746,-158.77264538882625
2024-10-21 12:58:57.006192128+00:00,AAPL,0,15152140,-66.66666666666666,-20.526860855787415
2024-10-21 12:58:57.006204731+00:00,AAPL,0,15152141,394.1678571428571,320.48759433743544
2024-10-21 12:58:57.186825862+00:00,AAPL,87,15152321,384.781746031746,160.51349787039916
2024-10-21 12:58:57.188827212+00:00,AAPL,0,15152323,-197.11507936507934,-146.40984782599523
2024-10-21 12:58:57.245928065+00:00,AAPL,0,15152431,263.781746031746,166.93670868178262
2024-10-21 12:58:59.191738848+00:00,AAPL,-2,15153905,-2.0,-0.04001959727753774
2024-10-21 12:59:00.362666414+00:00,AAPL,0,15156337,135.0456349206349,103.20664358789533
2024-10-21 12:59:01.222899124+00:00,AAPL,0,15158180,-167.19563492063492,-129.6120010861978
2024-10-21 12:59:01.222911311+00:00,AAPL,0,15158181,-50.0,-41.21890469633635
2024-10-21 12:59:01.250393352+00:00,AAPL,0,15158292,100.0,82.4378093926727
2024-10-21 12:59:01.302902468+00:00,AAPL,0,15158498,217.19563492063492,170.83090578253416
2024-10-21 12:59:02.387943682+00:00,AAPL,0,15159802,100.0,82.4378093926727
2024-10-21 12:59:02.700990199+00:00,AAPL,100,15160277,100.0,2.0009798638768874
2024-10-21 12:59:18.925937054+00:00,AAPL,0,15176333,-395.8345238095238,-321.00076585883016
2024-10-21 12:59:18.926788826+00:00,AAPL,0,15176334,2.5,0.3039382238568295
2024-10-21 12:59:29.383886738+00:00,AAPL,0,15185846,-233.86230158730157,-150.13886194198523
2024-10-21 12:59:29.584160244+00:00,AAPL,102,15185982,379.36230158730154,157.4683864982485
2024-10-21 12:59:29.843991689+00:00,AAPL,0,15186122,-33.33333333333333,-10.263430427893708
2024-10-21 12:59:34.987099899+00:00,AAPL,0,15192540,-66.66666666666666,-20.526860855787415
2024-10-21 12:59:41.219174443+00:00,AAPL,0,15199613,66.66666666666666,20.526860855787415
2024-10-21 12:59:41.751768006+00:00,AAPL,151,15199989,651.5011904761905,337.61665466746257
2024-10-21 12:59:41.751808827+00:00,AAPL,0,15199990,-167.19563492063492,-129.6120010861978
2024-10-21 12:59:41.752297252+00:00,AAPL,0,15199993,-50.0,-41.21890469633635
2024-10-21 12:59:41.755876256+00:00,AAPL,-151,15199997,-651.5011904761905,-337.61665466746257
2024-10-21 12:59:58.443981541+00:00,AAPL,0,15218660,217.19563492063492,170.83090578253416
2024-10-21 13:00:00.834769249+00:00,AAPL,0,15229999,-66.66666666666666,-20.526860855787415
2024-10-21 13:00:00.834779433+00:00,AAPL,0,15230000,-415.5150793650794,-242.29646376469572
2024-10-21 13:00:00.834789913+00:00,AAPL,0,15230001,482.1817460317461,262.82332462048316
2024-10-21 13:00:02.522599613+00:00,AAPL,0,15233887,-66.66666666666666,-20.526860855787415
2024-10-21 13:00:04.240937700+00:00,AAPL,0,15238147,66.66666666666666,20.526860855787415
2024-10-21 13:00:05.482580960+00:00,AAPL,0,15241828,50.0,41.21890469633635
2024-10-21 13:00:07.149349109+00:00,AAPL,0,15245036,-66.66666666666666,-20.526860855787415
2024-10-21 13:00:07.149359620+00:00,AAPL,0,15245037,-415.5150793650794,-242.29646376469572
